"nuts2_code","year","fertility","EBI","EPI","Clusters"
"BG31",2019,1.90808,0.8521260219968667,-0.671342233492238,"B"
"BG31",2019,1.90808,0.8521260219968667,0.4541022641450516,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.2741322454228421,"B"
"BG31",2019,1.90808,0.8521260219968667,-0.6115744778462184,"B"
"BG31",2019,1.90808,0.8521260219968667,0.513870019791071,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.21436448977682265,"B"
"BG31",2019,1.90808,0.8521260219968667,-0.6065299771025908,"B"
"BG31",2019,1.90808,0.8521260219968667,0.5189145205346988,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.20931998903319493,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.671342233492238,"B"
"BG31",2019,1.90808,0.8513185432571597,0.4541022641450516,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.2741322454228421,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.6115744778462184,"B"
"BG31",2019,1.90808,0.8513185432571597,0.513870019791071,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.21436448977682265,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.6065299771025908,"B"
"BG31",2019,1.90808,0.8513185432571597,0.5189145205346988,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.20931998903319493,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.671342233492238,"B"
"BG31",2019,1.90808,1.5180133646961957,0.4541022641450516,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.2741322454228421,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.6115744778462184,"B"
"BG31",2019,1.90808,1.5180133646961957,0.513870019791071,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.21436448977682265,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.6065299771025908,"B"
"BG31",2019,1.90808,1.5180133646961957,0.5189145205346988,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.20931998903319493,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.671342233492238,"B"
"BG31",2019,1.90808,1.5180133646961957,0.4541022641450516,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.2741322454228421,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.6115744778462184,"B"
"BG31",2019,1.90808,1.5180133646961957,0.513870019791071,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.21436448977682265,"B"
"BG31",2019,1.90808,1.5180133646961957,-0.6065299771025908,"B"
"BG31",2019,1.90808,1.5180133646961957,0.5189145205346988,"A"
"BG31",2019,1.90808,1.5180133646961957,-0.20931998903319493,"B"
"BG31",2019,1.90808,0.8521260219968667,-0.671342233492238,"B"
"BG31",2019,1.90808,0.8521260219968667,0.4541022641450516,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.2741322454228421,"B"
"BG31",2019,1.90808,0.8521260219968667,-0.6115744778462184,"B"
"BG31",2019,1.90808,0.8521260219968667,0.513870019791071,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.21436448977682265,"B"
"BG31",2019,1.90808,0.8521260219968667,-0.6065299771025908,"B"
"BG31",2019,1.90808,0.8521260219968667,0.5189145205346988,"A"
"BG31",2019,1.90808,0.8521260219968667,-0.20931998903319493,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.671342233492238,"B"
"BG31",2019,1.90808,0.8513185432571597,0.4541022641450516,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.2741322454228421,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.6115744778462184,"B"
"BG31",2019,1.90808,0.8513185432571597,0.513870019791071,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.21436448977682265,"B"
"BG31",2019,1.90808,0.8513185432571597,-0.6065299771025908,"B"
"BG31",2019,1.90808,0.8513185432571597,0.5189145205346988,"A"
"BG31",2019,1.90808,0.8513185432571597,-0.20931998903319493,"B"
"BG31",2019,1.90808,-0.5727389397599181,-0.671342233492238,"D"
"BG31",2019,1.90808,-0.5727389397599181,0.4541022641450516,"C"
"BG31",2019,1.90808,-0.5727389397599181,-0.2741322454228421,"D"
"BG31",2019,1.90808,-0.5727389397599181,-0.6115744778462184,"D"
"BG31",2019,1.90808,-0.5727389397599181,0.513870019791071,"C"
"BG31",2019,1.90808,-0.5727389397599181,-0.21436448977682265,"D"
"BG31",2019,1.90808,-0.5727389397599181,-0.6065299771025908,"D"
"BG31",2019,1.90808,-0.5727389397599181,0.5189145205346988,"C"
"BG31",2019,1.90808,-0.5727389397599181,-0.20931998903319493,"D"
"BG31",2019,1.90808,-0.5735464184996251,-0.671342233492238,"D"
"BG31",2019,1.90808,-0.5735464184996251,0.4541022641450516,"C"
"BG31",2019,1.90808,-0.5735464184996251,-0.2741322454228421,"D"
"BG31",2019,1.90808,-0.5735464184996251,-0.6115744778462184,"D"
"BG31",2019,1.90808,-0.5735464184996251,0.513870019791071,"C"
"BG31",2019,1.90808,-0.5735464184996251,-0.21436448977682265,"D"
"BG31",2019,1.90808,-0.5735464184996251,-0.6065299771025908,"D"
"BG31",2019,1.90808,-0.5735464184996251,0.5189145205346988,"C"
"BG31",2019,1.90808,-0.5735464184996251,-0.20931998903319493,"D"
"BG31",2019,1.90808,0.09314840293941096,-0.671342233492238,"B"
"BG31",2019,1.90808,0.09314840293941096,0.4541022641450516,"A"
"BG31",2019,1.90808,0.09314840293941096,-0.2741322454228421,"B"
"BG31",2019,1.90808,0.09314840293941096,-0.6115744778462184,"B"
"BG31",2019,1.90808,0.09314840293941096,0.513870019791071,"A"
