"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"density",0.00002824303019038257,0.0000037758242754967293,7.479964142840586,0.00000000000008815170815523743
"NO2+Mean(pollutant_av)",-0.006660871490287036,0.0006763800185090569,-9.847824163950884,0
"O3+Mean(pollutant_av)",-0.000032891891011834634,0.000001743100069714678,-18.869766333735846,0
"PM2.5+Mean(pollutant_av)",-0.0006144898985146398,0.0006963651148506852,-0.8824248736905768,0.3775921124330608
"Intercept",1.8057879119103375,0.011865041919648388,152.19397656909842,0
