Substance	ISO	Country	Subnational code *	Subnational desc	Sector	Y_2017	Y_2018	Y_2019	Y_2020	Y_2021	Y_2022	Y_2023
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Buildings	270,5148898	263,4778003	266,4258824	256,7207647	271,0437615	264,4869773	256,2721653
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Energy							
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Indirect	16,0464253	17,24732966	15,40094404	12,93124496	15,35321036	13,72023598	13,44586154
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Industry	1363,551297	1427,772811	1190,154069	1440,587357	1627,676419	1363,69993	1380,064665
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Transport	800,0088714	766,3430889	751,5228385	518,1096621	596,1403799	566,8456115	575,3170788
GWP_100_AR5_GHG	ALB	Albania	AL01	Veri	Waste	204,014739	210,549251	215,316994	218,7658718	222,6285903	226,5695857	233,0130966
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Agriculture	503,2629112	491,841701	465,3533459	417,3074345	393,1989434	362,8006159	334,582167
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Buildings	274,0381092	298,5583873	301,3851624	289,9309794	310,3818864	306,7682218	336,3820714
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Energy							
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Indirect	6,250496187	6,718279384	5,999064602	5,037053166	5,980471104	5,344385501	5,237509585
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Industry	844,8082218	967,4075391	781,5473269	857,9614256	1013,679885	877,1922102	920,3669875
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Transport	394,9989037	379,9453496	372,6316102	256,8280641	293,8786911	280,2570779	284,445349
GWP_100_AR5_GHG	ALB	Albania	AL02	Qender	Waste	275,1596175	282,2901345	288,6824004	293,3064216	298,4852921	303,7691111	309,4740545
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Agriculture	1368,681385	1328,778561	1285,255595	1153,849706	1089,581977	1014,629174	945,0415657
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Buildings	291,937849	279,1860557	283,9952677	273,5312008	286,1147779	280,3477985	270,0300391
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Energy							
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Indirect	14,49142352	15,57595253	13,90849355	11,67812419	13,86538557	12,39065691	12,14287111
